regio,jaar, (Vuur)wapenmisdrijven, Aanranding, Afpersing en afdreiging, Bankbreuk, Bedreiging, Bedreiging en stalking, Bedrog, Bedrog (overig), Brandstichting/ontploffing, Computervredebreuk, Diefstal en inbraak met geweld, Diefstal en inbraak zonder geweld, Diefstal/verduistering en inbraak, Dierenmishandeling, Discriminatie, Drugsmisdrijf (overig), Drugsmisdrijven, Flessentrekkerij, Gewelds- en seksuele misdrijven, Geweldsmisdrijf (overig), Harddrugs, Heling, Huisvredebreuk, Joyriding, Levensmisdrijf, Lokaalvredebreuk," Mensenhandel, mensensmokkel", Militair misdrijf, Misdrijf (overig), Misdrijven overige wetten, Misdrijven WvSr (overig), Mishandeling, Muntmisdrijf, Niet opvolgen van ambtelijk bevel, Ontucht met minderjarige, Ontucht met misbruik van gezag, Openbaar gezag misdrijf, Openbaar gezag misdrijf (overig), Openbare orde misdrijf, Openbare orde misdrijf (overig), Openlijk geweld tegen goed, Openlijk geweld tegen persoon, Openlijke geweldpleging, Oplichting, Pornografie, Rijden onder invloed, Rijden tijdens ontzegging, Rijden tijdens rijverbod, Schennis der eerbaarheid, Seksueel misdrijf, Seksueel misdrijf (overig), Softdrugs, Stalking, Valse aangifte, Valsheid in geschriften, Valsheid in zegels en merken, Valsheidsmisdrijf, Verblijf ongewenste vreemdeling, Verkeersmisdrijf (overig), Verkeersmisdrijven, Verkrachting, Verlaten plaats ongeval, Vermogensmisdrijf (overig), Vermogensmisdrijven, Vernieling aan auto, Vernieling aan openbaar gebouw, Vernieling en beschadiging, Vernieling middel openbvervoer," Vernieling, beschadiging (overig)"," Vernielingen, misdropenborde/gezag", Voeren vals kenteken, Vrijheidsbeneming/gijzeling, Wederspannigheid, Weigeren blaastest/bloedonderzoek, Witwassen,"Misdrijven, totaal",'s Avonds alleen thuis onveilig,'s Avonds op straat in buurt onveilig,Bang slachtoffer criminaliteit te worden,Bij treinstation in woonplaats,Denkt dat er veel criminaliteit in buurt,Doet 's avonds niet open,"Door bekenden (partner, familie, vriend)",Door onbekenden in openbaar vervoer,Door onbekenden op straat,Door personeel van overheidsinstanties,Door personeel van winkels en bedrijven,In centrum van woonplaats,In eigen huis,In openbaar vervoer,In winkelgebied/winkelcentrum,Op plekken waar jongeren rondhangen,Rapportcijfer veiligheid in buurt,Rijdt of loopt om,Rondom uitgaansgelegenheden,Van beroving op straat,Van inbraak in woning,Van mishandeling,Van zakkenrollerij,Vindt criminaliteit in buurt afgenomen,Vindt criminaliteit in buurt gelijk,Vindt criminaliteit in buurt toegenomen,Voelt zich vaak onveilig,Voelt zich vaak onveilig in buurt,Voelt zich wel eens onveilig,Voelt zich wel eens onveilig in buurt,gem_veiligheidsgevoel
Drenthe,2015,305,165,70,15,1595,1730,1470,130,300,75,175,13615,13790,0,20,15,680,20,5935,60,225,390,120,15,180,45,35,0,230,230,565,3270,210,170,50,75,220,15,745,120,65,305,370,1325,45,1560,210,0,95,630,115,450,135,20,620,0,830,0,205,3625,85,1590,0,16610,1275,95,3430,15,2050,4705,35,20,15,15,35,32655,1.3,1.4,1.6,11.9,5.4,5.2,6.4,7.7,15,11.3,10.5,12.1,7.1,10.1,11.3,32.1,7.5,1.3,17.6,1.3,7.1,1.4,2,2.7,51.6,11,0.7,0.9,26.4,13.6,9.85
Drenthe,2016,295,90,40,20,1215,1350,1625,425,225,55,210,12335,12540,0,25,0,700,0,5005,75,315,235,115,5,230,15,30,0,230,230,455,2880,165,120,35,60,180,15,600,80,30,280,310,1205,15,1505,195,0,80,435,75,385,140,15,860,5,1035,0,190,3480,75,1535,0,15505,1035,65,3040,20,1930,4040,40,15,30,15,5,29725,1.5,2.1,2.2,11.4,5.5,6,6.6,6.7,16,9.1,10.5,11.3,6.8,9.8,10.2,31.2,7.5,1.3,15.8,0.7,6.5,1.4,1.4,3.2,51.7,12,0.9,0.7,30.6,13.9,9.816666666666666
Drenthe,2017,260,100,70,15,1135,1270,1200,80,170,75,195,10055,10250,0,20,25,675,0,4475,45,250,205,105,15,235,15,5,0,125,125,365,2490,30,95,25,20,145,15,480,75,35,150,185,1130,30,1630,270,0,70,400,85,400,140,15,880,0,910,0,95,3530,60,1460,0,12665,1080,60,2610,5,1465,3405,40,15,30,15,25,25495,1.5,2.2,1.9,11.2,4.7,6,6.1,8.5,14.6,9.4,10.7,11.9,7.3,10,10.2,30.7,7.5,1.4,17.4,1.1,6.8,1.2,1.8,2.7,51.6,10.9,1,0.8,29.3,13.2,9.786666666666667
Flevoland,2015,365,40,125,10,1500,1590,1135,35,195,75,580,14810,15390,0,20,15,1695,5,5205,45,875,365,100,20,235,35,5,0,170,170,535,3025,255,105,40,50,210,15,795,210,50,315,365,1085,40,2160,405,15,40,270,30,810,95,20,975,15,1245,15,310,4805,40,1845,0,18290,1035,50,2915,50,1775,4110,20,35,60,25,20,35195,2.2,5,3.6,28.6,11.9,10.8,8.1,17.2,22.1,15.6,18.3,22.4,8.6,22.2,18,43.1,7.2,2.7,24.6,2.8,12.5,3,3,5.5,51.5,13.7,1.2,1.4,37.9,20.6,14.843333333333334
Flevoland,2016,350,125,85,5,1515,1610,1280,120,225,85,495,13430,13925,0,25,0,2020,0,5670,55,970,420,135,15,240,55,20,0,190,190,650,3370,165,105,40,30,225,20,920,170,75,360,440,1155,25,2165,405,15,35,355,30,1050,100,25,960,0,1130,0,365,4780,65,1735,0,16880,1095,30,2965,165,1665,4325,25,20,60,60,30,34865,2.3,3.1,2.9,25.6,10.7,9.6,6.9,15.2,21.4,12.6,16.4,21.8,8.5,23.7,17.7,44.4,7.2,3.4,24.7,2.5,11.2,2.2,2.6,5.5,49.6,14.5,1.7,1.5,38.4,16.8,14.153333333333332
Flevoland,2017,350,55,85,10,1390,1475,1045,75,180,80,450,12285,12735,0,10,0,1810,0,4925,25,1005,295,100,5,140,45,10,0,155,155,680,3000,135,50,25,25,155,30,755,140,75,310,385,975,10,1890,420,0,55,255,45,805,90,25,880,0,1020,0,225,4345,40,1725,0,15190,935,50,2580,140,1450,3665,15,20,45,45,0,31125,3.1,4.5,4.4,27,11.8,10.9,6.9,15.7,21.5,9.9,15,21.6,9.4,22.7,17.6,43.7,7.2,3.5,24.9,2.9,12.4,2.8,3.1,5.2,47.6,15.3,2.4,2.2,36.5,19.9,14.386666666666667
Friesland,2015,300,110,70,15,1880,2100,1770,95,295,100,270,18500,18775,0,20,15,1450,20,7420,95,790,405,360,20,230,45,45,0,340,345,680,4215,260,135,80,70,260,5,1150,290,120,215,335,1655,80,2960,495,15,175,730,115,650,215,35,750,5,1010,30,440,6240,95,2255,0,22045,1725,145,4875,30,2970,6585,40,15,60,30,15,45065,1.5,2.2,2,8.6,5.2,4.6,7.6,7,15.2,9.2,10.1,12.8,6.8,9.3,9.2,32.4,7.5,1.3,20.4,1,6.8,1.5,1.3,2.7,52.4,9.3,1,0.7,28.1,12.3,9.666666666666666
Friesland,2016,270,140,70,15,1725,1900,1845,115,255,75,225,15705,15935,0,25,5,1080,0,6930,65,600,295,300,20,270,30,35,0,445,445,725,3995,140,205,90,45,295,0,1135,335,125,250,370,1730,50,3015,530,0,130,655,120,465,170,20,1200,5,1350,15,475,6170,85,2070,0,19520,1590,85,4290,15,2600,5975,35,15,45,15,15,41105,1.7,1.6,1.5,9,3.9,3.9,7.2,7.7,14.1,8.4,9.6,11.2,6.1,9.5,8.9,29.2,7.7,0.9,18,0.9,5.1,1.3,1.3,3.2,49.1,8.7,0.8,0.9,27.1,11.1,8.986666666666666
Friesland,2017,280,95,50,0,1490,1680,1790,110,200,100,150,12635,12785,0,15,0,1105,0,6010,75,580,295,295,20,235,65,30,0,235,235,680,3470,100,120,40,40,220,15,975,285,60,160,210,1685,30,2870,495,0,100,505,110,520,185,20,1410,5,1525,0,265,5750,90,2000,0,16470,1390,80,4000,35,2495,5390,45,20,45,45,30,35920,1.5,1.7,1.4,7.8,3.5,4.6,7.2,7.1,15,9.1,9,11.2,5.3,8,8.5,28.3,7.7,1.1,18.2,0.6,5,1.9,1,2.7,52.3,7.4,0.9,1.1,27.8,11.1,8.933333333333334
Gelderland,2015,1425,415,285,45,6455,7075,4910,345,755,300,1355,67575,68930,0,110,50,3845,55,23345,215,1915,2250,500,80,940,115,155,40,1055,1090,3200,12815,425,715,270,185,1170,65,3450,330,330,1765,2095,4505,275,7905,955,30,400,2050,190,1880,620,150,2525,75,3025,45,1475,19095,310,8430,0,79585,5950,280,14220,175,7810,19590,115,90,195,90,145,151185,1.9,2.3,2.5,14.8,6.8,7.5,5.8,11.3,17.6,10.4,12.3,13.8,8.1,14.8,10.9,36.7,7.4,1.6,21.2,1.7,9.7,1.7,3,3.6,51.9,10.7,1.5,1.4,34.1,15.1,11.403333333333334
Gelderland,2016,1490,360,305,45,6075,6665,5960,555,960,175,1250,63055,64300,0,130,55,3545,0,21820,225,1805,2115,710,100,760,120,120,35,1025,1055,3370,12380,350,765,295,110,1275,95,2915,310,260,1210,1475,5405,115,7590,1135,15,340,1635,175,1680,590,120,3790,70,4200,55,1565,18935,250,8370,0,77075,5780,310,13595,185,7320,18755,100,40,245,75,145,146055,1.7,2.2,2.3,14.5,5.9,7.1,6.8,10.6,18.4,10.5,12.2,13.7,6.8,14.2,10.6,37.2,7.4,1.8,21,1.4,7.7,2,2.5,3.9,51.1,11.1,1.2,1.2,32.9,14,11.13
Gelderland,2017,1270,335,290,15,5315,5940,5455,405,755,170,865,52100,52965,0,40,45,3290,0,19285,205,1705,1735,660,75,740,85,110,15,605,610,3035,10615,450,695,225,95,1040,100,2625,265,185,1220,1400,5035,70,7180,1140,15,385,1595,205,1535,630,85,3785,40,4270,20,915,17780,275,8275,0,64825,4755,170,11390,140,6335,15815,110,80,135,75,95,125915,1.5,2.3,1.9,14.3,6.3,6.9,6.5,11.2,17.8,9.8,11.3,13.3,6.8,13.5,10.5,35.5,7.5,1.4,20.4,1.1,7.9,1.6,2.3,3.7,51.7,10.8,1,0.9,32.8,13.6,10.87
Groningen,2015,385,90,95,15,2325,2530,1580,85,235,80,480,22470,22955,0,40,30,1530,20,8625,60,530,475,245,20,265,50,125,0,360,360,655,4900,175,180,35,60,305,10,1025,125,75,405,485,1470,50,1990,290,0,155,705,240,970,205,55,835,0,1020,0,270,4690,60,2050,0,26160,1645,90,4505,25,2750,6070,35,35,60,30,20,48475,2.5,2.9,2.3,12.9,8.3,6.6,8.1,12.1,21,11.4,12.4,14.8,7.6,11.2,11.9,36.1,7.3,2.4,23.1,1.6,7.2,2,2.6,4.3,52,9.8,1.3,1.6,32.9,18.3,11.616666666666667
Groningen,2016,280,120,70,10,2085,2305,1805,190,190,70,425,21045,21465,0,40,20,1225,0,7940,85,475,325,235,25,320,80,55,0,240,240,640,4520,145,175,60,40,260,0,860,100,55,280,335,1615,55,2220,345,0,90,635,145,730,220,20,1225,0,1365,15,185,4840,130,1990,0,25075,1630,80,4380,20,2660,5685,40,25,35,45,20,45925,1.6,2.6,1.8,12.7,7.6,6.6,5.9,9.3,19,9.9,11.9,13.8,7,11.2,10.6,35,7.4,1.5,23.1,1.1,5.9,1.6,1.5,3.5,52.5,9.3,1,0.9,33.4,14.7,10.796666666666667
Groningen,2017,320,125,95,5,1895,2095,1580,125,255,80,410,16090,16505,0,30,25,1090,0,7095,65,375,365,250,15,305,60,90,0,170,170,595,3990,95,110,35,40,185,15,890,120,55,285,345,1455,45,2450,435,0,105,520,105,700,195,10,1175,5,1280,15,180,5025,70,1890,0,19905,1990,90,4335,20,2230,5655,25,25,45,15,80,39845,1.4,2.1,2,12.2,7,5.5,6.8,10.6,17.8,9.6,11,12.8,6.7,12,9,35.5,7.4,1.8,22,0.7,6.2,1.7,2,3.4,50.6,9.3,1.3,1.5,33.7,15.8,10.646666666666667
Limburg,2015,1235,140,150,35,4275,4740,2590,170,795,155,925,49650,50580,0,25,60,3970,20,13765,100,1515,1335,385,40,665,60,140,0,670,670,1320,7240,215,230,110,45,545,60,1580,250,100,610,710,2400,110,3830,495,15,205,820,120,2395,465,115,1425,25,1665,30,655,12155,85,6970,0,56410,4035,120,8890,35,4700,11810,95,55,120,60,55,101350,3.3,4.9,4.5,20,11.5,11.9,7.2,12.6,18.2,12,14.8,17.1,11.4,16.6,14.5,39.4,7.1,3.2,24,3.4,13.2,3.2,4.7,3,53.9,13.8,2.3,2.1,39,21.5,13.81
Limburg,2016,1090,225,180,15,3775,4275,3030,265,595,95,865,43875,44750,0,55,40,3715,0,13015,115,1445,1165,375,35,545,110,115,0,510,510,1190,7155,370,290,75,50,560,30,1550,215,115,575,695,2765,50,3760,510,0,145,735,85,2235,510,75,1940,35,2340,40,630,12190,105,7040,0,51545,3495,150,7800,35,4130,10500,115,70,135,90,60,93755,3,4,3.9,18.2,10.5,11.2,7.5,11.2,17.8,11.5,12.8,14.9,10.3,15,12.2,37.5,7.2,2.5,21.6,2,10.6,2.3,3,3.7,51,12.2,2.1,1.7,36.6,18.9,12.563333333333333
Limburg,2017,1005,155,125,20,3195,3675,2505,195,585,145,710,37815,38515,0,15,30,2845,0,11135,120,1170,975,300,20,565,40,105,0,385,385,1205,5930,205,220,80,45,570,30,1345,240,75,525,600,2310,45,3695,780,15,175,695,80,1645,480,40,1975,10,2205,105,300,11895,115,6895,0,44410,2950,100,6855,55,3760,9355,150,35,175,45,75,82235,2.8,4.2,3.2,18.3,10.3,11.4,6.3,11.5,17.5,10.2,11.9,16.1,9.3,14.2,12.5,37.8,7.1,2.5,21.2,1.9,10.5,2.1,3.1,3.5,49.1,12.7,1.8,2.3,36.3,19.5,12.37
Noord-Brabant,2015,2580,505,320,55,9605,10645,5925,410,1055,335,2100,100970,103075,0,75,590,8430,25,32340,285,3160,3510,1030,80,1235,185,130,5,1225,1230,3940,17650,665,810,270,185,1540,115,4605,560,265,2155,2420,5485,225,9875,1260,15,500,2235,270,4685,1040,160,3620,100,4390,90,1460,28040,280,15025,0,117515,8595,275,18285,65,9345,25475,260,160,365,60,240,219565,2.3,3.3,3,14.8,9.4,10,5.6,12.3,19.3,10.5,12.8,15.2,8.8,14.4,11,41.1,7.2,2.4,24.4,2,11,2,3.4,4.2,53.3,12.8,1.3,1.4,35.4,17.3,12.396666666666667
Noord-Brabant,2016,2430,520,370,75,9020,9945,6935,720,925,285,2005,87905,89915,0,100,235,7260,0,30485,260,3390,2865,1005,90,1185,200,165,15,1070,1085,4075,16465,475,990,260,155,1710,120,4560,480,320,2170,2495,6220,125,9685,1545,30,520,2345,355,3630,925,130,4810,75,5365,75,1365,27830,410,14825,0,105825,8085,370,17540,140,8940,24725,220,125,395,75,305,203710,1.9,3,2.5,14.6,8.1,9.6,6.3,10.9,18.4,10,12.5,14.7,8.1,15.4,10.5,39.4,7.3,1.8,22.7,1.9,9.2,2,3,4.3,53.4,11,1.4,1.3,34.9,16.5,11.886666666666667
Noord-Brabant,2017,2520,535,310,50,7680,8490,5830,480,1055,260,1705,74210,75910,0,70,200,6990,0,26775,265,3280,2545,1120,75,1085,180,185,5,805,810,3525,14465,485,780,185,150,1390,130,3960,345,215,1780,1995,5350,110,10070,1800,15,450,2205,350,3505,820,90,4535,70,5090,65,865,26525,430,13330,0,90075,6715,200,14515,155,7445,20920,280,70,325,90,345,178145,2.1,3.1,2.6,13.6,8.8,9.6,6.4,9.6,18,8.8,11.5,14,8.2,13.4,10.1,38.7,7.3,2.2,22,1.8,8.6,2.1,2.8,4.2,51.9,11.3,1.5,1.4,34.3,16.4,11.543333333333333
Noord-Holland,2015,4000,640,600,90,13195,14500,8330,570,1105,490,5245,151740,156990,0,215,80,11525,100,43380,310,8110,5035,1290,130,1695,340,315,0,1505,1510,4340,23800,1210,2420,260,150,3840,125,6035,735,715,2245,2965,7665,285,14315,2445,45,485,2535,165,3340,1310,165,5225,135,6575,610,1970,34730,565,15450,0,178025,9870,470,23510,425,12755,34495,220,225,515,165,405,312005,2.5,3.7,3.4,22.5,12.7,8.8,6.5,17.8,24.8,13.3,17.3,18.7,9,21.4,13.8,45.4,7.1,2.7,25.5,3.1,11.7,3,4.5,5.3,51,13.7,2,1.9,36.7,19.5,14.31
Noord-Holland,2016,3720,820,600,70,11880,12975,8720,895,1105,695,4930,135605,140535,0,250,65,9250,5,40260,245,6205,4285,1330,125,1545,230,315,0,1335,1335,4555,22425,860,3220,245,145,4470,115,6050,770,540,2230,2770,7815,195,13960,2415,60,445,2520,170,2980,1100,175,6445,135,7440,505,2055,34725,500,15720,0,162025,8690,455,21440,435,11870,33080,215,240,470,180,385,288960,2.1,3.6,3.1,21.9,11.4,8.9,7.1,17.7,25,12.2,16.3,18.2,7.5,21.2,13.8,44.4,7.2,2.7,23.9,2.4,10,2.4,4.1,5.6,51.1,12.2,1.8,1.7,35.7,17.4,13.753333333333334
Noord-Holland,2017,3025,670,470,50,9475,10425,7750,715,995,830,3975,119560,123535,0,140,55,8340,0,33760,215,5710,3560,1010,100,1345,190,245,0,890,890,3850,19210,600,4530,215,125,5525,90,5150,575,450,1950,2405,7035,145,13455,2365,60,310,2140,180,2575,955,120,7045,75,7730,340,1535,32840,495,14960,0,143465,7490,350,18665,670,10155,30330,195,180,450,165,380,256505,2.1,3.5,3.2,21.7,11.2,9,6.7,16.6,24.1,10.9,15.4,17.6,7.5,20.2,13.1,42.5,7.2,2.6,23.9,2.5,9.8,2.4,4.1,5.2,50.1,12.4,1.9,1.5,35.2,17.9,13.4
Overijssel,2015,845,180,120,20,3655,3990,3150,220,430,160,640,35490,36130,0,40,50,2010,35,12350,70,925,970,405,40,525,65,65,0,480,480,1780,6690,265,280,120,65,575,35,1705,155,155,730,880,2890,140,3560,405,0,220,965,105,1045,345,90,1470,25,1760,30,650,9725,140,4995,0,42190,3020,205,7720,35,4455,10435,55,40,135,15,45,79820,1.8,2.7,2.4,15,6.2,6,6.3,10.1,18.5,10.4,12.1,15.7,8.1,12.4,10.6,36.6,7.4,1.7,22.4,1.2,8,1.8,2.5,3.9,49.8,12.5,1.4,1.3,31.7,15.3,11.193333333333333
Overijssel,2016,980,200,120,15,3505,3820,3270,275,495,80,570,32700,33270,0,55,40,2125,0,11660,70,945,930,400,30,450,100,70,0,565,565,1705,6320,275,300,100,70,600,50,1420,130,95,550,650,3000,80,3650,555,15,255,890,90,1145,325,95,2175,30,2470,15,780,9990,85,4865,0,40100,2440,170,6765,45,4105,9280,55,40,135,30,25,76415,1.8,2.2,2,14,5.6,6.5,6.1,10,17.4,10.1,11.3,14,7.4,13.3,9.9,34.8,7.5,1.6,20.9,1.2,7.2,1.2,2.3,3.5,50.3,10.8,1.3,1.2,31.8,13.3,10.683333333333334
Overijssel,2017,725,250,110,5,2795,3130,2780,210,455,135,385,27460,27850,0,20,40,1720,0,10320,80,750,905,380,45,390,75,35,0,280,280,1450,5790,220,285,65,50,655,120,1530,170,180,585,765,2575,40,3630,540,15,215,865,115,925,330,65,2000,40,2265,20,575,9745,135,4865,0,33965,2435,190,6250,20,3610,8885,40,30,150,15,50,67095,1.5,2.2,1.9,14.1,5.3,5.7,5.8,9.7,17,8.3,10.4,14.2,6.4,12,9.7,35.6,7.5,1.5,21.4,1.1,5.9,1.6,1.7,4.3,49.9,8.6,1.2,1,30,12.8,10.276666666666667
Utrecht,2015,1030,205,220,25,3455,3715,3220,205,555,270,1180,54840,56020,0,65,40,2305,35,12080,95,1100,1995,420,25,465,50,45,0,415,420,2100,6810,345,430,135,55,765,40,2825,210,445,1375,1815,2975,100,5925,925,15,170,875,75,1170,265,55,2070,40,2455,60,545,13770,140,6160,0,64045,4115,165,9315,55,4975,13460,105,75,170,70,115,109215,2.1,3.4,2.7,18.1,10.4,8.3,6.4,16.6,25.2,11.7,15.9,15.4,8.8,18.9,14.6,45,7.2,2.1,23.6,1.8,10.9,2,3.7,5.2,57.1,11.4,1.8,1.4,38.8,18.2,13.623333333333333
Utrecht,2016,980,250,175,25,3365,3640,3765,395,545,215,1070,52070,53135,0,40,20,2155,0,11805,125,890,1610,530,65,480,45,65,15,455,460,2350,6525,345,500,85,40,935,55,2420,205,330,1060,1395,3365,85,5220,990,15,180,910,105,1250,270,75,2855,55,3255,45,635,13050,160,5900,0,62105,3725,130,8285,95,4340,12185,105,55,260,120,145,105105,1.6,2.6,2.3,16.8,10,6.4,6.1,14.5,23.7,9,13.2,14.6,7.8,18,14.3,44.1,7.3,2.2,21.1,1.4,9.2,1.7,2.3,4.9,54.4,11.7,1.4,1.1,36.5,16.2,12.546666666666667
Utrecht,2017,785,255,180,20,2905,3105,3285,265,485,245,820,47315,48140,0,35,20,1980,0,10525,125,835,1450,530,50,355,50,35,0,360,365,1955,5970,230,370,90,40,720,75,2200,230,210,895,1105,3025,45,4990,870,0,230,865,80,1120,205,50,3010,40,3280,30,335,12070,120,5580,0,56465,3480,125,7600,70,3930,11005,115,55,210,120,115,95150,1.8,2.9,2.4,15.8,11.3,7.3,5.2,14.1,23.4,9.2,13.3,14.6,7.9,17.5,13.4,43.7,7.3,2,21.5,1.4,9.6,1.7,2.6,4.3,54.3,13.2,1,1.2,36.8,16.7,12.58
Zeeland,2015,405,50,65,15,1475,1640,940,45,180,50,205,10045,10250,0,20,25,1310,0,4905,25,395,220,115,15,150,15,25,0,275,275,380,2695,110,230,45,55,310,15,625,85,90,250,345,895,40,2320,225,15,65,360,50,890,165,15,620,10,740,0,190,4650,50,1840,0,12240,1570,60,3395,5,1755,4510,20,15,45,15,20,28680,2.4,2.8,2.4,11.1,5.6,8.6,6.2,9.7,16.4,12.1,14.1,13.8,7.7,11.9,10.9,32,7.5,1.9,18.7,1.8,8.5,1.9,3.1,3.8,51.9,10.7,1.2,1.1,32.1,14.7,10.886666666666667
Zeeland,2016,270,55,80,0,1340,1485,1095,90,155,50,215,9080,9290,0,20,40,1020,0,4495,60,355,190,105,0,145,60,45,0,250,250,485,2380,115,205,35,60,280,15,530,65,50,175,225,1010,25,2015,270,0,40,350,90,620,145,20,720,5,840,0,175,4290,50,1775,0,11520,1280,30,2805,5,1485,3770,40,25,30,15,25,26105,1.8,2.1,1.5,8.9,5.1,7.1,6.8,9.2,14.5,9.9,11.3,12.9,7.4,10.4,9.1,30.4,7.5,2,16.6,0.9,7.6,2,2.7,3.4,54,9.7,0.8,1,27,13.3,9.8966666666666665
Zeeland,2017,330,65,85,0,1025,1160,915,75,145,25,230,7125,7355,0,20,30,1095,0,3820,35,405,190,125,15,150,45,20,0,130,130,530,2150,100,125,30,20,220,15,535,95,65,165,220,840,10,2140,285,0,20,290,80,655,135,20,680,15,795,0,130,4310,60,1690,0,9400,1020,15,2320,15,1270,3230,35,15,60,15,55,22850,1.6,2.3,1.9,8.1,5.5,7.4,5.6,8,14.1,8.6,10.7,11.6,6.6,9.3,8.8,29.3,7.5,1.6,16.8,1.8,6.4,2.1,2.1,2.7,51.8,9.5,1.1,1.1,27,13.6,9.483333333333333
Zuid-Holland,2015,4415,775,745,115,15975,17355,9630,715,1480,480,5390,157575,162960,0,185,205,10940,65,52270,495,4750,5435,1180,150,2310,270,225,0,2425,2425,7165,28155,1210,1525,455,180,3125,90,7640,1015,1270,3255,4515,8835,350,24195,3385,105,685,3375,345,5980,1380,205,6335,230,7780,500,2940,57240,580,25815,0,187430,12980,515,28840,245,15100,41085,315,350,800,345,765,362970,3,4.5,4,21,12.6,11,6.9,17.7,23.9,13.4,16.5,19.8,9.8,25.2,16.3,44.3,7,3.2,23.8,3.7,13.2,3.3,5,4.9,50,15.3,2.1,2.2,37.8,20.6,14.733333333333333
Zuid-Holland,2016,4610,1060,775,170,14880,16375,10160,1105,1420,355,5000,146100,151100,0,255,105,10310,0,50030,440,4720,4455,1300,180,2320,140,350,0,2230,2230,6745,26645,935,1970,380,210,3590,345,6840,910,1030,2840,3875,9055,290,23730,3715,120,700,3625,335,5490,1485,210,8220,175,9330,260,2585,57265,640,26185,0,176740,12195,495,27180,315,14175,39025,325,275,805,420,750,346945,2.4,4,3.7,20.8,11.6,10.4,6.4,17,23.5,12.4,15.6,19.2,8.5,25.2,15.7,43,7.1,2.9,23.5,3.4,11,3,4.5,4.5,50.5,13.5,2.1,2,37,19,14.113333333333333
Zuid-Holland,2017,3345,815,580,25,12780,14015,9325,800,1425,475,4675,126580,131260,0,300,105,8880,0,44620,400,4480,3610,1155,125,2040,130,215,0,1560,1560,6120,24610,715,1250,370,200,2485,170,6415,855,715,2785,3495,8520,170,21200,3330,75,525,3080,375,4290,1235,200,8410,205,9325,220,1825,52120,625,24910,0,154865,9905,390,22670,350,12020,32995,325,255,645,330,740,304495,2.3,4.1,3.5,19.1,11.3,10.7,6.4,16.4,23,11.4,14.7,18,8.1,23.2,14.7,41.6,7.1,3,22.2,3.1,10.9,3,4.3,4.4,50.1,13.8,2.1,2.1,35.6,18.4,13.62
